data,hora,pk,D_TRACAT_ALTIMETRIC,D_TIPUS_VIA,D_SENTITS_VIA,D_CLIMATOLOGIA,D_BOIRA,D_LLUMINOSITAT
15/02/2012,1.32,156.7,Rampa,Autovia,Un sentit,Pluja,No es de el cas,Fosc
09/06/2023,23.34,279.6,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Fosc
20/01/2022,22.10,459.4,Rampa,Carretera,Un sentit,Pluja,No es de el cas,Fosc
24/05/2018,4.16,174.7,Pla,Carretera,Un sentit,Serè,No es de el cas,Fosc
10/09/2016,9.45,133.9,Rampa,Autovia,Doble sentit,Pluja,No es de el cas,Clar
08/10/2018,23.18,376.7,Rampa,Autovia,Un sentit,Serè,No es de el cas,Fosc
22/08/2017,8.19,291.0,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
30/06/2010,18.17,156.3,Rampa,Autovia,Doble sentit,Pluja,No es de el cas,Clar
08/12/2017,20.22,463.1,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
02/02/2011,4.6,469.4,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
17/04/2021,9.11,251.3,Pendent,Carretera,Un sentit,Serè,No es de el cas,Clar
05/11/2017,12.33,299.0,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
29/05/2019,14.33,304.3,Rampa,Autovia,Doble sentit,Ennudesit,No es de el cas,Clar
21/05/2014,19.41,162.6,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
22/10/2013,3.49,96.4,Pla,Autovia,Doble sentit,Serè,No es de el cas,Fosc
20/06/2013,3.10,10.2,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
12/05/2012,9.59,60.8,Rampa,Autovia,Doble sentit,Ennudesit,No es de el cas,Clar
14/08/2016,5.44,256.2,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
17/07/2014,6.16,1.6,Pla,Autovia,Un sentit,Serè,No es de el cas,Fosc
19/07/2022,5.56,274.6,Pla,Autovia,Un sentit,Serè,No es de el cas,Fosc
13/06/2018,17.58,399.3,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
18/09/2019,11.55,305.0,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
27/12/2021,8.16,166.9,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
01/11/2014,17.26,170.5,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
10/01/2023,9.17,231.1,Pla,Carretera,Doble sentit,Pluja,No es de el cas,Clar
23/10/2020,19.3,147.5,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
21/12/2017,16.53,64.3,Rampa,Autovia,Doble sentit,Pluja,No es de el cas,Clar
25/07/2020,9.13,308.6,Rampa,Carretera,Doble sentit,Serè,No es de el cas,Clar
23/08/2022,19.36,42.5,Rampa,Carretera,Un sentit,Serè,No es de el cas,Clar
14/11/2019,15.43,120.9,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
31/05/2022,14.19,193.8,Pendent,Carretera,Doble sentit,Serè,No es de el cas,Clar
11/09/2017,21.39,290.5,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
12/12/2021,18.24,295.1,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
23/11/2023,0.28,396.1,Pla,Autovia,Un sentit,Pluja,No es de el cas,Fosc
17/07/2012,18.37,315.8,Rampa,Carretera,Doble sentit,Boira,Boira,Clar
27/12/2022,21.10,24.5,Pendent,Autovia,Un sentit,Ennudesit,No es de el cas,Fosc
11/08/2018,1.5,304.5,Pla,Carretera,Un sentit,Serè,No es de el cas,Fosc
11/03/2012,5.10,292.0,Pendent,Autovia,Doble sentit,Pluja,No es de el cas,Fosc
18/01/2023,16.32,434.8,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
04/08/2023,0.50,190.5,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
09/01/2014,4.25,266.2,Rampa,Autovia,Doble sentit,Pluja,No es de el cas,Fosc
17/06/2010,15.25,259.1,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
28/09/2018,9.23,324.7,Pendent,Carretera,Un sentit,Ennudesit,No es de el cas,Clar
26/01/2013,18.59,78.0,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
01/05/2016,3.20,176.6,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Fosc
04/08/2012,11.55,132.5,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
06/04/2016,11.20,148.8,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
24/04/2016,15.32,162.9,Pendent,Carretera,Un sentit,Pluja,No es de el cas,Clar
29/05/2017,7.26,365.2,Rampa,Autovia,Doble sentit,Ennudesit,No es de el cas,Clar
20/04/2021,5.19,210.5,Pla,Autovia,Doble sentit,Pluja,No es de el cas,Fosc
14/03/2020,5.5,313.2,Pla,Autovia,Doble sentit,Serè,No es de el cas,Fosc
24/02/2017,18.50,47.1,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
05/06/2014,3.32,12.5,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
18/05/2016,15.0,179.7,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
31/05/2018,14.24,436.0,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
05/06/2012,13.39,347.9,Rampa,Autovia,Doble sentit,Ennudesit,No es de el cas,Clar
31/08/2023,20.54,441.7,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
31/01/2014,23.33,458.3,Pla,Autovia,Un sentit,Serè,No es de el cas,Fosc
04/07/2018,15.1,362.1,Pendent,Carretera,Doble sentit,Serè,No es de el cas,Clar
01/12/2013,6.51,272.8,Pla,Autovia,Un sentit,Pluja,No es de el cas,Fosc
06/09/2023,15.3,131.5,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
15/03/2019,0.41,267.5,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
01/09/2019,10.37,362.8,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
28/10/2010,9.20,179.1,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
20/03/2013,21.46,162.8,Rampa,Autovia,Doble sentit,Ennudesit,No es de el cas,Fosc
06/12/2021,9.2,456.1,Rampa,Autovia,Un sentit,Ennudesit,No es de el cas,Clar
10/11/2023,22.7,39.6,Rampa,Autovia,Un sentit,Serè,No es de el cas,Fosc
20/12/2013,1.55,162.0,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
24/10/2019,7.42,196.8,Pla,Carretera,Doble sentit,Serè,No es de el cas,Clar
23/07/2023,12.37,314.2,Pendent,Autovia,Doble sentit,Pluja,No es de el cas,Clar
14/10/2019,6.41,292.3,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
16/09/2016,13.3,210.9,Rampa,Autovia,Doble sentit,Boira,Boira,Clar
12/07/2018,15.12,104.3,Pla,Autovia,Un sentit,Pluja,No es de el cas,Clar
05/07/2013,4.46,12.9,Pendent,Autovia,Un sentit,Serè,No es de el cas,Fosc
10/07/2019,14.51,445.9,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
22/01/2011,4.1,12.5,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
06/11/2017,10.48,390.7,Pendent,Autovia,Doble sentit,Ennudesit,No es de el cas,Clar
24/06/2011,9.7,75.4,Pla,Autovia,Doble sentit,Ennudesit,No es de el cas,Clar
17/01/2022,1.26,172.6,Pla,Autovia,Doble sentit,Serè,No es de el cas,Fosc
16/01/2017,9.19,333.8,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
06/05/2016,9.36,130.2,Pendent,Carretera,Un sentit,Serè,No es de el cas,Clar
22/09/2019,0.21,336.4,Pla,Autovia,Un sentit,Serè,No es de el cas,Fosc
30/04/2010,18.7,126.8,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
15/08/2011,13.0,177.5,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
19/05/2016,17.12,230.2,Pla,Autovia,Doble sentit,Pluja,No es de el cas,Clar
24/11/2010,13.42,201.2,Rampa,Carretera,Doble sentit,Serè,No es de el cas,Clar
02/06/2010,17.24,132.2,Pla,Autovia,Un sentit,Serè,No es de el cas,Clar
09/08/2010,8.35,63.4,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
15/02/2010,3.32,175.8,Rampa,Autovia,Un sentit,Serè,No es de el cas,Fosc
24/07/2017,14.15,308.1,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
22/02/2013,10.4,463.5,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
24/09/2011,16.21,5.9,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
26/09/2017,20.52,297.5,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
18/03/2022,13.47,220.6,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
30/08/2016,9.41,277.6,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
11/07/2013,6.4,4.5,Pla,Autovia,Un sentit,Serè,No es de el cas,Fosc
14/10/2021,15.13,241.8,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
19/11/2018,9.32,198.0,Pla,Carretera,Doble sentit,Serè,No es de el cas,Clar
26/03/2012,14.16,35.4,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
05/07/2013,1.2,371.6,Rampa,Carretera,Doble sentit,Ennudesit,No es de el cas,Fosc
24/08/2017,18.24,65.2,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
19/11/2022,10.43,165.6,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
14/04/2021,4.18,4.8,Pla,Autovia,Doble sentit,Pluja,No es de el cas,Fosc
06/10/2022,16.30,307.8,Pla,Autovia,Un sentit,Ennudesit,No es de el cas,Clar
26/08/2020,4.26,304.8,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
17/07/2012,1.12,307.3,Rampa,Autovia,Un sentit,Serè,No es de el cas,Fosc
12/05/2014,20.48,379.1,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
30/12/2015,13.11,297.0,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
12/03/2023,8.42,176.9,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
29/04/2010,14.23,179.9,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
01/09/2021,15.37,3.2,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Clar
01/11/2021,17.1,293.8,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
02/10/2010,10.33,7.2,Pla,Autovia,Doble sentit,Boira,Boira,Clar
14/11/2010,19.45,174.6,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Clar
16/01/2019,4.2,216.1,Pendent,Autovia,Doble sentit,Pluja,No es de el cas,Fosc
15/07/2023,11.43,161.7,Rampa,Carretera,Doble sentit,Pluja,No es de el cas,Clar
27/07/2015,12.6,369.8,Rampa,Autovia,Un sentit,Serè,No es de el cas,Clar
20/11/2012,0.24,371.6,Pla,Carretera,Un sentit,Serè,No es de el cas,Fosc
17/03/2017,16.16,239.1,Pla,Carretera,Un sentit,Pluja,No es de el cas,Clar
18/01/2020,16.50,32.7,Rampa,Carretera,Doble sentit,Serè,No es de el cas,Clar
28/10/2019,8.55,339.4,Pla,Autovia,Un sentit,Pluja,No es de el cas,Clar
08/11/2013,9.50,312.5,Pla,Autovia,Doble sentit,Serè,No es de el cas,Clar
23/03/2019,7.8,334.5,Pla,Autovia,Un sentit,Boira,Boira,Clar
19/01/2020,5.6,358.2,Pendent,Carretera,Un sentit,Serè,No es de el cas,Fosc
17/09/2021,22.43,250.3,Pendent,Autovia,Doble sentit,Serè,No es de el cas,Fosc
16/02/2019,10.20,291.7,Pendent,Autovia,Un sentit,Serè,No es de el cas,Clar
06/02/2014,4.43,178.0,Rampa,Autovia,Doble sentit,Serè,No es de el cas,Fosc
22/11/2020,3.37,298.4,Pendent,Carretera,Doble sentit,Ennudesit,No es de el cas,Fosc
14/03/2019,21.49,57.8,Pendent,Carretera,Un sentit,Ennudesit,No es de el cas,Fosc
